Date,Close/Last,Volume,Open,High,Low
09/27/2019,$277.54,3168377,$284.63,$284.98,$274.1201
09/26/2019,$283.81,4325923,$278.46,$285.9,$277.01
09/25/2019,$277.43,3452563,$271.9,$277.71,$267.7269
09/24/2019,$272.47,3351591,$279.58,$280.7,$271.08
09/23/2019,$277.44,2068852,$275.93,$279.58,$275.41
09/20/2019,$277.91,4160719,$281.6,$283.2,$274.95
09/19/2019,$281.26,3171211,$280.17,$284.365,$279.83
09/18/2019,$279.72,7479171,$275.35,$280.29,$270.02
09/17/2019,$284.69,4541202,$284.04,$285.3,$280.355
09/16/2019,$282.93,2774732,$276.62,$283.05,$275.3
09/13/2019,$278.35,2948590,$278.22,$280.28,$276.32
09/12/2019,$278.02,2955024,$281,$282.28,$277.94
09/11/2019,$277.78,2593970,$277.66,$280.3099,$274
09/10/2019,$276.14,4098222,$277.58,$277.58,$272.34
09/09/2019,$279.3,3134613,$286.52,$286.93,$276.6
09/06/2019,$284.94,2273061,$288.2,$289.59,$283.96
09/05/2019,$287.75,2836385,$287.83,$288.0101,$281.52
09/04/2019,$284.6,1516136,$286.04,$286.245,$282.46
09/03/2019,$282.45,1838081,$284.25,$287.46,$281.4
08/30/2019,$284.51,2373297,$287.41,$288.5,$280.115
08/29/2019,$286.63,2172535,$285.71,$287.7,$283.615
08/28/2019,$282.13,2776778,$286.55,$287.99,$280.42
08/27/2019,$289.45,1793394,$290.66,$291.85,$286.5301
08/26/2019,$288.74,1792971,$284.86,$288.89,$283.51
08/23/2019,$282.44,2852522,$289.23,$293.5725,$280.97
08/22/2019,$287.69,1745838,$292.57,$292.9,$285.1215
08/21/2019,$291.53,1520360,$288.54,$292.92,$286.51
08/20/2019,$285.71,1491067,$287.97,$288.66,$285.4
08/19/2019,$287.97,1956105,$291.32,$291.77,$287.17
08/16/2019,$287.45,1981029,$285.58,$290.15,$283.32
08/15/2019,$282.71,2338678,$285.64,$286.49,$280.86
08/14/2019,$283.66,2585987,$287.6,$289.65,$281.425
08/13/2019,$293.17,2346691,$288.23,$295.5,$286.39
